city_name,state_name,state_code,age_median,popul_male,popul_female,household_size_ave,popul_total,share_female,popul_density,lat,lng
Hesperia,California,CA,29.4,217940,248490,3.5200000000000005,466430,0.53,310.3,34.386645,-117.35753
Hialeah,Florida,FL,43.0,446120,502208,3.31,948328,0.53,3541.43,25.889631428571427,-80.31198571428571
High Point,North Carolina,NC,35.5,258755,290385,2.65,549140,0.53,554.62,35.9587775,-79.9988
Highlands Ranch,Colorado,CO,39.6,245930,266405,2.72,512335,0.52,,,
Hillsboro,Oregon,OR,35.3,254630,257170,2.68,511800,0.5,423.95,45.50473,-122.965285
Hollywood,Florida,FL,41.4,376790,371815,2.65,748605,0.5,2265.41,26.008117777777773,-80.25041777777777
Homestead,Florida,FL,31.399999999999995,94203,105297,3.48,199500,0.53,560.9,25.461532857142856,-80.46273571428571
Hoover,Alabama,AL,38.5,152160,187196,2.58,339356,0.55,,,
Houston,Texas,TX,32.6,5748430,5744710,2.66,11493140,0.5,1828.05,29.77529783505154,-95.41477329896907
Huntington Beach,California,CA,41.6,499835,509800,2.67,1009635,0.5,2433.62,33.6993975,-118.0094225
Huntsville,Alabama,AL,38.1,458820,486750,2.18,945570,0.51,504.42,34.70903545454546,-86.61436363636365
Independence,Missouri,MO,38.6,271740,314535,2.33,586275,0.54,624.0,39.10230125,-94.388535
Indianapolis,Indiana,IN,34.1,2053075,2189040,2.53,4242115,0.52,1008.19,39.80652135135136,-86.14066486486485
Indio,California,CA,35.9,219015,218615,3.08,437630,0.5,903.5,33.72569,-116.17488499999999
Inglewood,California,CA,34.9,264975,293305,3.12,558280,0.53,5042.62,33.953382,-118.347038
Iowa City,Iowa,IA,25.5,185445,185690,2.36,371135,0.5,758.98,41.6551275,-91.5317175
Irvine,California,CA,34.6,627055,657580,2.73,1284635,0.51,1983.97,33.680504444444445,-117.79216444444445
Irving,Texas,TX,32.3,585945,597140,2.78,1183085,0.5,1384.72,32.858605000000004,-96.96710666666667
Jackson,Mississippi,MS,31.7,395195,458860,2.65,854055,0.54,3108.66,32.32355416666666,-90.20373000000001
Jackson,Tennessee,TN,35.3,150035,184865,2.52,334900,0.55,117.1,35.643995000000004,-88.81037
Jacksonville,Florida,FL,35.7,2096015,2244140,2.62,4340155,0.52,866.18,30.303402580645162,-81.64915483870969
Jacksonville,North Carolina,NC,24.2,200075,136740,2.51,336815,0.41,251.75,34.776475,-77.433335
Jersey City,New Jersey,NJ,34.3,658825,662560,2.57,1321385,0.5,7515.0,40.72439857142857,-74.05711285714285
Johns Creek,Georgia,GA,39.0,201410,215285,3.19,416695,0.52,,,
Johnson City,Tennessee,TN,38.2,155095,171750,2.18,326845,0.53,824.08,36.332724999999996,-82.3820175
Joliet,Illinois,IL,33.1,354315,395810,3.13,750125,0.53,868.66,41.522073999999996,-88.108494
Jonesboro,Arkansas,AR,32.6,178330,191200,2.44,369530,0.52,139.15,35.82745,-90.72116
Jurupa Valley,California,CA,33.8,247150,254420,3.87,501570,0.51,1010.1,34.00326,-117.44494
Kalamazoo,Michigan,MI,26.4,185875,194325,2.36,380200,0.51,800.19,42.29394285714285,-85.59293428571429
Kansas City,Kansas,KS,33.4,373030,383275,2.71,756305,0.51,567.63,39.10973272727272,-94.69032181818183
Kansas City,Missouri,MO,35.9,1142150,1234655,2.35,2376805,0.52,844.29,39.105569400000014,-94.55060900000001
Kendall,Florida,FL,40.2,146632,159232,2.81,305864,0.52,,,
Kenner,Louisiana,LA,36.9,169965,165565,2.57,335530,0.49,1689.85,30.008455,-90.254895
Kennewick,Washington,WA,32.0,192460,202055,2.78,394515,0.51,560.37,46.145446666666665,-119.17951666666666
Kenosha,Wisconsin,WI,36.3,246745,252535,2.55,499280,0.51,1075.25,42.586442500000004,-87.88144249999999
Kent,Washington,WA,33.4,309125,325685,3.06,634810,0.51,1400.78,47.3829225,-122.1922175
